ID,V1,V2,V3,V4,V5,V6,V7,V8,Has_FICO,Business_channel,Days_late,FICO_Score,Loan_amount,Monthly_income,Age,Gearing_coefficient,Max_gearing_ratio,Default_45
250263,1,1,11,5,6,7,1,2,0,1,0,,1.43851768,-0.259084692,1.781039908,0.860269058,0.513979799,0
250290,1,2,6,4,5,1,1,2,1,1,0,1.498182593,0.204811412,0.383311855,1.107162653,-0.71824919,1.796590249,0
250249,2,3,11,5,7,7,1,2,1,1,0,-0.241730639,-0.852651104,-0.732429516,1.406663655,1.122929726,-0.768630652,0
249516,3,3,10,4,2,4,1,2,0,1,168,,-0.676407351,-0.057349636,0.957412152,-1.702481712,0.513979799,1
249827,1,3,5,2,4,4,1,3,0,1,0,,-0.412041722,-0.574647908,-0.390342357,0.910076672,-0.768630652,0
250329,1,3,11,2,5,4,3,4,0,2,0,,0.557298917,-0.210623198,-0.390342357,-0.384495602,0.513979799,0
250196,2,4,11,5,7,7,3,1,1,1,0,0.590942122,-0.852651104,-0.674951931,1.256913154,-0.789554963,-0.768630652,0
250358,1,3,12,3,3,5,1,3,0,2,0,,-0.464914848,-0.580282966,-0.465217607,0.503527339,-0.768630652,0
250375,2,5,11,5,1,7,1,1,0,1,336,,0.028567659,-0.709889287,1.406663655,1.062266606,-0.768630652,1
250415,3,3,14,1,4,4,3,1,0,1,0,,-0.23579797,-0.766239861,-0.315467106,1.023953056,-0.768630652,0
250334,1,3,15,4,3,4,1,3,0,1,349,,2.14349269,-0.048333544,-0.315467106,1.094407417,0.513979799,1
250321,1,4,15,2,2,4,1,2,0,1,0,,-0.059554217,-0.672697908,-0.015966104,0.896241224,-0.768630652,0
250033,3,3,3,4,2,4,3,1,0,2,0,,-0.323919846,-0.015650211,-1.438595864,-1.473451826,0.513979799,0
250018,1,5,11,5,7,7,1,2,1,3,0,1.199911753,-1.003339512,-0.883449055,1.781039908,-0.998150956,-0.768630652,0
250310,1,1,12,4,6,1,1,3,1,1,0,-0.279014494,-0.394417347,-0.262465727,-0.390342357,1.082487646,-0.768630652,0
250470,1,3,12,2,6,1,1,3,1,1,15,-1.397530143,-0.852651104,-0.64452262,0.208659647,1.071844993,-0.768630652,0
250370,1,3,15,1,2,4,1,2,0,1,15,,0.028567659,-0.63663354,-1.139094862,0.920719325,-0.768630652,0
250420,1,3,11,5,6,7,1,2,0,1,0,,-0.323919846,-0.602823195,1.406663655,0.416257587,-0.768630652,0
250523,2,4,11,5,7,7,1,1,0,1,0,,0.028567659,-0.488995035,1.182037904,1.014374669,-0.768630652,0
250512,1,1,12,2,1,1,3,2,1,1,594,-0.85070027,-0.676407351,-0.396580093,0.508160649,-0.077561498,-0.768630652,1
250566,1,4,10,5,7,7,1,2,1,1,15,1.523038496,-0.147676093,-0.260211704,0.957412152,1.059499516,0.513979799,0
250479,4,4,11,5,5,7,1,1,1,1,319,-0.403294011,1.086030175,-0.0832709,0.208659647,-0.344479228,0.513979799,1
250546,3,1,11,4,2,1,3,1,0,1,0,,0.821664546,0.042954386,-1.213970112,-0.71824919,0.513979799,0
250559,1,3,2,1,4,5,1,2,0,1,0,,-0.323919846,-0.672697908,0.508160649,0.024607968,-0.768630652,0
250578,4,3,13,1,3,5,3,1,1,1,0,-1.111687255,-0.147676093,-0.700873195,-1.139094862,0.807907206,-0.768630652,0
250545,1,4,10,4,4,5,1,2,1,2,273,-1.111687255,0.557298917,-0.155399635,-1.213970112,-0.525830029,0.513979799,1
250452,1,4,3,1,3,4,1,3,1,1,0,0.218103572,0.028567659,-0.070873774,0.208659647,1.121652608,0.513979799,0
250079,1,4,15,2,2,4,1,2,0,1,0,,0.010943284,-0.672697908,0.133784397,1.109094278,-0.768630652,0
250395,1,4,10,4,6,4,1,2,1,1,0,1.112916091,-0.852651104,-0.429263427,-0.689843359,-0.425576241,-0.768630652,0
250644,1,3,15,4,6,4,1,2,1,1,168,-0.614569189,-0.323919846,1.668104949,0.058909146,-0.024348234,1.796590249,1
250651,1,4,15,4,4,4,1,4,1,3,15,1.610034158,-0.874152842,-0.18920998,0.133784397,-1.574769879,0.513979799,0
250405,1,3,11,5,7,7,1,2,1,2,107,0.093824056,0.010943284,-0.700873195,0.882536902,1.102708686,-0.768630652,1
250684,3,3,11,4,2,5,1,2,0,2,410,,0.204811412,-0.495757104,0.208659647,0.725958781,-0.768630652,1
250511,1,3,2,1,3,5,1,2,0,1,0,,-0.323919846,-0.736937562,0.283534898,0.442864219,-0.768630652,0
250679,1,5,11,5,7,7,1,2,1,1,0,0.590942122,-0.500163599,-0.552107679,1.855915158,0.747244086,-0.768630652,0
250677,3,4,10,2,2,5,3,1,0,1,349,,-0.323919846,-0.669316873,-1.363720613,0.005451193,-0.768630652,1
250520,1,3,11,5,7,7,1,2,0,1,0,,-0.23579797,-0.782018022,1.781039908,0.959032875,-0.768630652,0
250265,1,5,10,4,4,5,1,4,1,1,0,-0.179590881,-0.500163599,-0.332340439,-0.390342357,-1.191847235,-0.768630652,0
250713,1,4,3,4,3,4,1,2,1,1,0,0.65308188,-0.588285475,-0.126097337,0.65791115,-0.932805069,0.513979799,0
250699,1,1,13,4,5,1,1,2,0,1,0,,-0.799777978,1.051629666,0.058909146,-1.340489618,1.796590249,0
250607,1,3,11,4,4,4,1,4,1,3,15,1.038348382,-0.981344292,-0.3481186,0.208659647,1.065459402,-0.768630652,0
250668,3,4,2,1,2,5,1,1,1,2,623,-1.285678578,-0.112427343,-0.703127218,-0.689843359,1.113351339,-0.768630652,1
250412,4,3,10,4,3,5,1,3,1,2,15,0.267815379,-0.323919846,-0.360515726,-0.015966104,0.233203961,-0.768630652,0
250596,3,5,11,4,2,5,3,1,1,1,0,-0.577285334,-0.323919846,-0.60620423,-1.438595864,0.268324715,-0.768630652,0
250751,1,4,11,5,7,7,1,2,1,1,0,2.032584514,-0.676407351,-0.316562278,1.781039908,-0.788490698,-0.768630652,0
250794,1,4,1,5,7,7,1,2,1,3,76,0.740077542,-0.731219158,-0.531821472,1.781039908,-0.462825526,-0.768630652,1
250778,3,4,13,3,2,5,1,1,0,2,563,,-0.323919846,-0.672697908,-0.689843359,0.151255535,-0.768630652,1
250743,1,3,11,1,3,4,3,2,0,1,0,,-0.059554217,-0.672697908,-1.288845363,0.896241224,-0.768630652,0
250413,3,3,2,1,3,5,1,1,1,2,0,0.615798025,-0.147676093,-0.343610554,0.433285399,1.052688218,-0.768630652,0
250818,3,5,11,5,7,7,2,1,0,1,0,,-0.764529228,-0.608458253,1.930790409,-0.331920897,-0.768630652,0
250455,1,5,11,5,7,7,1,2,1,2,0,0.056540201,1.614761433,-0.252322623,1.331788405,1.022888791,0.513979799,0
250832,1,2,14,2,4,5,1,1,1,1,0,-0.378438107,0.028567659,-0.663681816,0.133784397,1.116544135,-0.768630652,0
250308,1,5,11,2,3,4,3,4,0,1,15,,-0.059554217,-0.672697908,-0.240591856,0.896241224,-0.768630652,0
250595,1,1,11,5,6,7,1,2,1,1,0,-0.154734978,0.204811412,0.001254961,1.855915158,0.087186766,0.513979799,0
250803,1,4,11,5,7,7,1,2,0,1,15,,-0.059554217,-0.729048482,1.631289407,0.926040651,-0.768630652,0
250896,1,3,14,1,2,5,1,2,0,1,0,,-0.23579797,-0.669316873,-0.91446911,0.772786453,-0.768630652,0
250755,1,3,15,1,4,4,1,2,1,1,15,0.715221638,-0.500163599,-0.672697908,0.208659647,0.869634592,-0.768630652,0
250630,2,4,11,5,5,7,1,1,0,1,76,,-0.852651104,-0.596061127,1.781039908,-1.088613504,-0.768630652,1
250266,3,5,10,2,2,5,1,1,1,1,0,0.416950799,-0.676407351,-0.380801933,0.283534898,0.552483542,-0.768630652,0
250875,4,4,10,2,3,4,1,1,0,1,15,,-0.676407351,-0.582536989,0.433285399,0.049086069,-0.768630652,0
250915,1,3,11,5,4,7,1,2,1,1,0,0.65308188,2.319736443,-0.407850208,1.406663655,0.937038059,1.796590249,0
250447,2,5,11,5,7,7,1,1,0,2,15,,-0.5706611,-0.902608251,1.556414156,0.576961643,-0.768630652,0
250950,1,5,11,5,7,7,1,2,0,1,0,,-0.764529228,-0.905989285,1.107162653,-0.511781728,-0.768630652,0
250936,1,5,3,4,2,4,1,2,0,3,0,,-0.695794164,0.124099213,1.032287403,-1.842113315,0.513979799,0
250625,3,5,10,2,4,6,1,1,0,1,0,,-0.676407351,-0.427009404,-0.240591856,-0.572444848,-0.768630652,0
250997,1,5,11,5,7,7,1,2,0,1,0,,-0.676407351,-0.92514848,1.406663655,0.122520373,-0.768630652,0
250810,1,4,11,5,7,7,1,2,1,2,0,1.125344043,1.350395804,-0.504773196,1.706164657,0.918590794,1.796590249,0
250942,3,5,15,3,2,4,3,1,0,1,0,,-0.323919846,0.032811283,-0.015966104,-1.023054763,0.513979799,0
251033,1,4,15,4,6,4,1,3,1,3,15,1.237195608,-1.060794976,-0.120462279,-0.240591856,-1.973230796,0.513979799,0
251047,3,3,10,3,5,5,1,1,1,3,15,-0.390866059,-0.879087667,0.443043464,-1.363720613,0.863249,1.796590249,0
250565,1,2,13,4,2,1,1,3,0,1,0,,-0.323919846,-0.502519173,-0.83959386,-0.720377721,-0.768630652,0
250969,3,3,14,1,4,5,3,1,0,3,0,,-0.761533084,-0.663681816,-1.213970112,0.260874858,-0.768630652,0
251050,1,3,10,3,3,5,1,2,1,1,0,-0.266586542,-0.412041722,-0.459692737,-0.989344361,-0.67780711,-0.768630652,0
250657,3,3,2,2,3,5,3,1,0,2,0,,-0.323919846,-0.745953654,-1.139094862,0.656781538,-0.768630652,0
251057,1,4,11,2,4,4,3,3,1,1,15,-0.564857382,1.086030175,0.851021622,-0.764718609,-1.565404345,1.796590249,0
251079,1,3,10,4,4,4,1,2,1,1,15,-0.378438107,-0.676407351,-0.487868024,-0.090841355,0.337501957,-0.768630652,0
250634,1,4,1,2,3,4,1,3,0,1,0,,-0.323919846,-0.393199059,0.208659647,-0.221237309,-0.768630652,0
251108,1,1,12,3,6,2,1,>4,0,1,0,,0.169562661,-0.602823195,-0.540092858,1.111222808,-0.768630652,0
250825,3,4,3,2,2,5,1,2,1,2,594,-0.974979787,-0.041929842,-0.672697908,-0.390342357,1.120801196,-0.768630652,1
251017,1,1,5,1,5,2,1,3,1,1,0,1.697029819,5.844611495,0.96372277,0.5830359,0.802940635,1.796590249,0
250842,1,5,11,5,7,7,1,2,0,1,0,,-0.323919846,-0.834987562,1.556414156,1.101644421,-0.768630652,0
251114,1,5,11,5,7,7,1,2,0,2,410,,-0.835026729,-0.955577791,1.855915158,0.550355011,-0.768630652,1
251029,1,1,11,4,3,3,1,2,1,2,0,0.143535862,5.844611495,1.614008398,-0.764718609,0.649686436,1.796590249,0
251131,1,1,15,1,2,4,3,3,0,1,0,,0.028567659,-0.634379517,-0.83959386,0.904755346,-0.768630652,0
251157,4,3,10,4,2,4,1,1,0,2,0,,-0.323919846,-0.16666975,-0.540092858,-1.756120681,0.513979799,0
251199,3,5,11,2,3,5,1,1,0,1,623,,-0.500163599,-0.672697908,-0.689843359,-0.555416604,-0.768630652,1
250485,3,1,7,4,3,3,1,1,1,2,0,-1.248394723,0.909786422,3.203094593,-0.090841355,1.104482462,1.796590249,0
250768,1,5,10,2,5,5,1,3,0,1,76,,-0.147676093,0.081272777,-0.015966104,-1.364471062,0.513979799,1
251243,4,3,10,5,4,5,3,1,1,1,15,-1.583949418,-0.500163599,-0.448422622,-0.83959386,0.679131109,-0.768630652,0
251147,1,1,11,1,7,7,1,2,0,1,0,,0.557298917,0.048589444,1.631289407,-1.183971672,0.513979799,0
251288,3,5,2,4,3,5,3,1,0,1,273,,0.557298917,-0.309800209,-0.540092858,1.043109831,-0.768630652,1
251270,1,5,11,5,7,7,1,2,1,2,76,0.379666944,-0.676407351,-0.936418595,1.481538906,0.689773761,-0.768630652,1
251048,4,3,10,4,2,5,1,1,1,1,107,0.131107911,1.43851768,0.365279671,-1.139094862,-0.919040571,1.796590249,1
250957,1,5,11,2,2,5,3,4,0,2,0,,-0.323919846,-0.633252506,-0.614968108,1.072909259,-0.768630652,0
251314,1,3,10,4,6,4,3,2,1,1,0,-1.335390385,-0.147676093,-0.140748486,-0.465217607,1.121652608,0.513979799,0
251285,2,5,11,5,7,7,1,1,1,1,0,1.02592043,-0.852651104,-0.871051929,1.930790409,0.424771709,-0.768630652,0
250836,1,2,7,1,5,1,1,2,0,2,15,,3.81780834,-0.315435266,-0.689843359,1.114415604,1.796590249,0
250876,1,1,11,1,2,1,3,2,1,2,502,-1.14897111,5.844611495,1.193633113,-1.064219611,0.582282969,1.796590249,1
251186,1,4,11,5,7,7,1,2,0,1,0,,-0.323919846,-0.488995035,1.930790409,0.984575241,-0.768630652,0
250389,1,1,5,5,1,3,1,2,0,1,0,,1.791005185,-0.124970325,-0.83959386,0.924976386,0.513979799,0
251196,1,4,15,1,3,4,2,4,1,1,153,-1.397530143,-0.323919846,-0.672697908,-0.465217607,0.913269468,-0.768630652,1
251377,1,4,11,5,7,7,1,2,1,1,0,0.392094895,-0.147676093,-0.509281242,1.706164657,0.491820421,-0.768630652,0
250907,1,4,10,4,4,4,1,3,1,1,0,0.50394646,-0.147676093,0.055351512,0.807661651,-0.78721358,0.513979799,0
250573,1,4,11,4,6,7,1,2,1,2,349,-0.316298349,4.223168971,0.286388867,1.107162653,1.129315318,1.796590249,1
251026,3,3,11,2,4,5,3,1,0,1,15,,-0.500163599,-0.61409331,-1.213970112,-0.803390412,-0.768630652,0
251258,4,4,11,4,3,5,1,1,0,1,15,,-0.323919846,-0.672697908,0.732786401,0.024607968,-0.768630652,0
251409,3,3,11,3,3,5,3,3,1,2,198,-0.440577866,0.134313911,-0.591553081,-0.240591856,1.100580156,-0.768630652,1
251461,1,4,3,5,4,4,1,2,0,3,0,,-0.819164791,-0.2500686,0.283534898,-1.413214411,-0.768630652,0
250659,1,4,11,4,6,4,3,3,1,2,0,-0.291442446,1.614761433,3.901841714,-0.240591856,-1.331975496,1.796590249,0
250978,1,3,4,4,3,2,1,2,1,1,0,-0.912840029,1.614761433,0.435154383,-0.315467106,0.590087581,1.796590249,0
251506,3,5,11,2,4,5,3,2,0,1,594,,0.204811412,-0.43940653,-1.064219611,0.306638264,-0.768630652,1
251056,3,1,2,4,2,4,3,1,1,1,0,-1.061975448,0.557298917,-0.277116876,-1.288845363,0.580154439,-0.768630652,0
251031,3,1,15,3,4,1,3,1,1,1,15,-0.92526798,-0.323919846,0.3190722,-0.989344361,0.778817289,1.796590249,0
251434,3,5,14,2,3,5,3,4,0,1,441,,0.116689535,-0.620855379,-1.064219611,1.07929485,-0.768630652,1
251351,1,4,11,5,7,7,1,2,0,1,0,,-0.500163599,-0.549853656,1.855915158,-0.088204151,-0.768630652,0
251240,1,3,10,2,5,5,1,3,1,1,15,1.150199946,-0.676407351,-0.672697908,-0.390342357,0.616339458,-0.768630652,0
251259,1,3,7,2,3,4,1,2,1,1,0,0.839501155,-0.711656102,-0.672697908,0.807661651,0.340694753,-0.768630652,0
250422,1,3,11,1,4,5,3,2,1,1,15,-0.527573527,-0.006681091,-0.672697908,0.358410148,1.070780728,-0.768630652,0
251392,2,5,10,4,6,4,1,1,1,1,0,0.044112249,-0.323919846,0.026049214,-0.240591856,-1.477708887,0.513979799,0
251603,1,1,11,5,7,7,1,2,1,1,0,1.908304997,1.43851768,0.088034846,1.855915158,0.802373027,0.513979799,0
251591,1,4,2,5,5,4,1,2,1,1,0,-0.577285334,-0.649970788,-0.672697908,0.433285399,0.166155249,-0.768630652,0
251598,1,4,11,5,7,7,1,4,0,3,0,,-1.0290711,-0.980372043,1.781039908,-0.127581966,-0.768630652,0
251245,3,3,2,4,3,4,1,1,1,1,0,-0.987407739,0.557298917,0.042954386,-1.438595864,-1.019649115,0.513979799,0
251481,1,3,11,4,6,7,1,2,0,2,198,,0.73354267,-0.375166875,1.406663655,0.989896568,-0.768630652,1
251521,3,3,14,2,4,5,3,1,1,1,107,-0.577285334,-0.059554217,-0.664808827,-1.363720613,0.838770899,-0.768630652,1
251668,1,3,12,3,6,1,1,2,1,1,0,1.746741626,0.028567659,0.18270381,1.256913154,0.913056615,0.513979799,0
251109,1,3,10,4,3,4,1,2,1,2,76,-0.515145576,0.381055164,0.264975649,-1.288845363,0.793007493,1.796590249,1
251458,1,1,6,4,5,3,1,4,1,2,305,0.230531524,5.844611495,3.588532521,-0.540092858,-1.03114318,1.796590249,1
250887,1,1,13,3,2,3,1,4,0,1,15,,0.557298917,-0.091159981,-0.465217607,-0.771036748,0.513979799,0
251052,4,1,11,3,3,4,3,1,1,2,594,-0.167162929,0.557298917,0.817211277,-0.689843359,-1.986143881,1.796590249,1
251315,1,3,10,2,3,4,1,3,0,1,0,,-0.75571704,-0.599442161,-0.015966104,0.563126194,-0.768630652,0
251404,1,1,11,5,7,7,1,2,1,2,0,0.143535862,2.319736443,0.251451511,1.556414156,0.490756156,1.796590249,0
