ID,V1,V2,V3,V4,V5,V6,V7,V8,Has_FICO,Business_channel,FICO_Score,Loan_amount,Monthly_income,Age,Gearing_coefficient,Max_gearing_ratio
305932,3,3,14,2,1,5,1,1,1,1,-0.030455461,-0.323919846,-0.605449132,-1.064219611,1.028210117,-0.768630652
305764,1,4,7,1,6,4,1,2,1,1,0.715221638,5.668367742,1.299572193,0.807661651,1.081778136,1.796590249
305971,1,4,10,4,5,4,1,4,1,3,0.764933445,-0.750782215,0.434027372,-0.390342357,-0.969415794,1.796590249
305664,1,5,14,2,2,5,3,3,1,1,-1.347818337,-0.852651104,-0.490122047,-0.989344361,1.046302627,-0.768630652
305639,1,4,15,1,5,4,1,3,1,2,1.634890061,3.200955206,0.56137967,0.5830359,0.088463884,1.796590249
305854,3,3,10,1,4,5,3,1,1,1,0.976208623,0.292933288,-0.505900208,0.058909146,1.021824526,-0.768630652
306018,1,5,10,4,2,4,3,>4,1,1,-0.453005817,-0.323919846,0.320199212,-1.213970112,-1.177302277,1.796590249
305910,1,3,10,4,3,4,3,3,1,1,-0.179590881,0.557298917,0.159036569,-1.139094862,-0.244012586,0.513979799
305802,1,4,2,2,6,4,1,2,0,1,,-0.852651104,-0.620855379,0.732786401,-0.053083397,-0.768630652
306025,1,3,10,4,5,4,1,2,1,3,1.237195608,-0.773693903,-0.084397912,0.358410148,-1.022203351,0.513979799
305618,1,3,5,2,6,5,1,1,0,1,,-0.323919846,-0.501392162,0.882536902,-0.620336785,-0.768630652
305196,3,4,14,4,2,4,1,1,1,2,-1.571521466,0.292933288,-0.096795038,-1.213970112,1.080784822,0.513979799
306039,1,5,11,5,7,7,1,2,1,1,0.814645252,-0.412041722,-0.662554804,1.556414156,0.91965506,-0.768630652
306024,1,5,7,4,5,4,1,2,1,1,-1.037119545,-0.323919846,0.233419327,0.5830359,0.730854401,0.513979799
306030,1,5,11,2,3,5,1,3,1,1,-0.067739316,0.028567659,-0.3481186,-0.689843359,0.895176959,-0.768630652
306036,1,5,10,4,2,5,1,2,0,1,,-0.764529228,-0.4168663,1.032287403,0.812164267,-0.768630652
